Class	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0	14.0295130512902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.00978733518826638	0.00332728875875493	0.0230527620090482	0	0.0125772100953073	0.00132035860939831	0	0	0	0	0	0	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.8787349170174	4.46522151424911	13.3850099415036	2.17997831586556	16.8338969786746	11.4580720123586	12.360874689014	17.896955074367	14.7912034928883	15.5652848086834	18.1110845104142	10.8992827806044	21.6848883224898	24.3535183379141	22.0312159709619	17.5837352806446	17.9071618037135	12.3532607411956	11.8303703266198	11.7909090909091	11.4474286473637	10.9434898299734	10.1457559302658	14.211411962674
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	20.0906027600285	15.4486017068991	17.5244215197533	28.1734730755331	19.2626959948573	20.7626391327885	20.2356946444939	21.8061875820786	24.037714622452	22.5612258858941	20.9480488388796	20.7871023110403	16.3257093031055	12.5084966161303	11.8446460980036	13.6415079087063	18.1184792219275	21.2320192739212	13.5520642608233	12.5681818181818	20.3345785285041	22.8994723312136	20.6582833190435	15.5040538473306
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0237692426000755	0.00166364437937746	0.00720398812782757	0.0621611853993495	0.0195645490371447	0.0950658198766785	0.0314259525991882	0.0519194942430443	0.08303645568264	0.597436949879144	0.187534913414731	0.450560902347821	0.666711382386478	0.37385110973195	0.158257713248639	0.986230497696101	0.780725022104332	0.366110021966601	0.0930246293780639	0.104545454545455	0.116644765012477	0.184909574707978	0.123844908068972	0.0994339911274285
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.0139819074118091	16.9209269826482	0	0.00144560896277557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.00139819074118091	9.64414646725116	0	0	0.00279493557673496	0.0475329099383393	0	0	0	0	0	0	0	0	0	0	0	0	0.010336069930896	0.00681818181818182	0.00147651601281616	0	0	0
k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned	0.262859859342011	0.231246568733468	0.0835662622827998	1.05818576075172	0.093630341820621	0.182209488096967	0.138797957313081	0.149650306935834	0.233037794980312	0.702330460163269	0.554624531162716	0.260528412922209	0.391709705546985	0.178798356828324	0.293284936479129	0.299102691924227	0.3342175066313	0.290526017431561	0.208197980036619	0.236363636363636	0.116644765012477	0.469038921210481	0.478708202343527	0.507368313701494
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutae_vadinHA64	0	0	0	0	0	0	0	0	0	0.0364846992292607	0	0	0.575491313971427	0.0591068948192807	0.0406533575317604	0.00538923769232842	0.655172413793103	0.1299100077946	3.38137144882169	2.36590909090909	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.6772416493058	1.15956013242609	15.4482321413134	2.77123238164077	1.12496156963582	3.48838744603034	5.15123739688359	0.109947164279388	1.22411807248279	0.159620559128016	1.37658606655494	2.79838165879973	2.35562411965927	0.0768389632650649	1.31833030852995	0.382635876155318	4.10698496905393	4.12641424758486	0.0457740239796822	0.111363636363636	2.24873388751901	5.18874306589095	7.24969038772983	0.673091632247208
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.619398498343144	0.321083365219851	2.44647436821024	1.29092880375858	1.79015623689874	0.895203137172056	16.7578892235171	5.53095318083254	7.73578335520853	0.519906964016965	1.01747665788844	0.312634095506651	0.370246160037561	0.716671099683778	0.123411978221416	0.152245964808278	0.123784261715296	0.706238042374283	0.119603094914654	0.279545454545455	1.31262273539357	0.8884679565237	0.878822520720206	0.127479475804396
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	14.0295130512902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.00978733518826638	0.00332728875875493	0.0230527620090482	0	0.0125772100953073	0.00132035860939831	0	0	0	0	0	0	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	1.29332643559234	0.296128699529189	0.229086822464917	0.319479580773401	1.39048044942564	1.4840830769637	0.450438653921697	0.632196194606481	0.565183617710872	1.0534956902449	1.10924906232543	0.775455158462576	1.33744717955597	1.66976977864468	0.82032667876588	1.14790762846595	1.04774535809019	1.72189810331389	1.25214104305711	1.29545454545455	3.75773325261712	2.96080819014116	1.54567971801467	0.639946968538065
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_BS11_gut_group	0.151004600047538	0.021627376931907	0.00144079762556551	0.0173473075533068	0	0.00528143443759325	0	0	0	0.0957723354768094	0	0.0306504015202599	0.131464216245221	0	0	0.254641480962518	0.0884173297966401	0.0283440017006401	0.533045892150493	0.693181818181818	0.0221477401922424	0.0112749740675596	0.0166714299323616	0.874509204018153
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_S24-7_group	0.226506900071308	0.214610124939693	0.769385932051984	0.169136248644742	0.167696134604097	1.26490354780358	1.81746759198638	3.11822374247931	1.79198028553826	0.656724586126693	3.41153938233182	0.156317047753326	0.689516399490241	5.60333362886781	0.222141560798548	1.85793969443022	0.939876215738285	0.262182015730921	1.32006378831729	1.16136363636364	0.695439042036411	0.439723988634826	0.316757168714871	0.851562898373362
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.61071573384041	1.55384385033855	1.83845777022159	0.526201662450307	3.96880851896364	2.73314232145451	1.81746759198638	2.42799987783648	0.841078938204805	2.1936425411593	1.81948767057697	2.43364188070864	2.76074854114964	4.58965038271714	5.94990925589837	5.30974643636658	3.77718832891247	2.69031816141909	0.69694642962613	0.822727272727273	1.06161501321482	0.595318630767149	0.421549014004001	0.57365764111978
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.59718124746578	2.37901146250977	10.5466386191396	1.1478135164438	11.3069118756813	5.97066163169917	8.27550085111955	11.7185352594448	11.5929606514344	11.5656496556757	11.77080839518	7.50321829215963	16.7657119860487	12.4907645476845	15.0388384754991	9.01350004041928	12.053934571176	7.65051845903111	8.02817317346878	7.81818181818182	5.91049359930308	6.93636404636269	7.84509859959989	11.2717352506246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae	0.181764796353519	0.129764261591442	0.0950926432873239	0.511745572822552	0.224992313927164	0.352535748709349	0.222600497577583	0.143542131142534	0.141965553263868	0.11401468509144	0.295267736014684	0.419910500827561	0.0804882956603394	0.0842273251174749	0.392014519056261	0.243863005577861	0.129089301503095	0.191322011479321	0.307128935089481	0.25	0.42671312770387	0.527668786361791	0.507287796513289	0.214165519351384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.99661637840634	2.67514016203896	6.84090712618506	4.59848211058909	3.2658822214148	5.89540119096347	5.64095849155427	7.2809455456128	6.227734176198	3.35659232909199	1.44441784374751	3.1018206338503	2.38513649473472	2.77654638413571	1.50417422867514	2.27021637789335	2.77188328912467	3.05406618324397	2.40535113106137	2.11590909090909	5.30069248601001	3.94398592883236	3.29617986091264	1.24165009433481
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	17.9122215852687	12.6436972832687	10.588421750281	23.0632453921214	15.7718214595154	14.5147021931156	14.3721356553621	14.3816999053233	17.6680148929901	19.0906188717107	19.2083632591174	17.2653711763624	13.8600845127104	9.64772290687709	9.94845735027223	11.1274285252351	15.2175066312997	17.9866310791979	10.8395841946725	10.2022727272727	14.6071729147903	18.4278176160195	16.8548156616176	14.0482382336444
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.0237692426000755	0.00166364437937746	0.00720398812782757	0.0621611853993495	0.0195645490371447	0.0950658198766785	0.0314259525991882	0.0519194942430443	0.08303645568264	0.597436949879144	0.187534913414731	0.450560902347821	0.666711382386478	0.37385110973195	0.158257713248639	0.986230497696101	0.780725022104332	0.366110021966601	0.0930246293780639	0.104545454545455	0.116644765012477	0.184909574707978	0.123844908068972	0.0994339911274285
