Compound_ID	Name	Class_I	Class_II	Class_III	Class_IV	OS1	OS2	OS3	OS4	OS8	OS9	OW1	OW2	OW3	OW4	OW5	OW6	CS1	CS2	CS3	CS5	CS7	CS8	CW1	CW2	CW3	CW4	CW5	CW6	PS7	PS8	PS9	PS10	PS11	PS12	PW7	PW8	PW9	PW10	PW11	PW12
Com_4497_neg	Hippuric acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hippuric acids	586872.1828	2750075.402	1464228.28	976774.4655	1722590.328	6129049.764	1352672.117	1592159.409	1484670.464	1712792.284	3947366.265	1715596.202	2131911.812	1141055.149	7733379.487	6888957.348	1287526.488	1340326.32	1487608.417	1376424.259	1364039.227	1556366.091	1417501.428	1145742.084	5475347.253	6773955.286	4666927.396	3582352.12	3297540.184	3468431.7	1784569.235	2019590.714	1854176.991	9772237.995	10430129.94	7158678.451
Com_715_neg	13(S)-HOTrE	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Lineolic acids and derivatives	164785247.6	175357059.9	102042544.5	738801861.8	479942554.7	98104748.29	154617993	109657318.7	123129198.7	59463943.76	220543201.1	254779761.3	176214106	168018059	117548373.2	200064536.9	164629081.6	47505120.73	195136672.6	292416443.4	491204097.8	862873425.8	801616555.2	1015608766	708502201.3	362926417.3	858072247.4	418667518.3	545294779.7	234689584.8	66642857.95	167102608.9	80807652.39	39075543.8	305812308.4	49853226.34
Com_29821_neg	Taurochenodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Bile acids, alcohols and derivatives"	Taurinated bile acids and derivatives	12852677.77	31774117.31	3394226.227	33421154.16	25744575.09	16672575.13	8012480.571	9933167.348	8679288.86	39205075.04	14190431.51	15948101.96	21652427.49	13109822.65	37928524.41	38941739.84	5451852.909	6167714.415	8551963.921	21232664.98	23121024.5	29525065.96	9986687.023	16094177.45	35423412.14	39160602.6	40395860.94	34589726.82	45058811.41	42661392.79	61201279.12	60552092.85	41251708.97	7299426.938	15039585.65	10630542.55
Com_42634_neg	5-Hydroxytryptophan	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	Serotonins	424950.7127	10058615.22	3847734.305	1528477.148	1613676.324	22662396.55	451583.085	867725.5221	612819.7138	436693.3677	1144811.391	2001916.715	5431571.558	6938550.132	8870516.505	5594427.133	2138362.499	807014.8535	1338491.436	925527.2908	562180.2915	1027394.279	1378927.473	1767513.216	4950580.96	4717960.977	2804799.24	2399496.531	2726162.739	2530942.142	733586.7389	719455.5862	669072.9096	937227.7279	1235498.983	1259348.551
Com_1651_neg	2-(Formylamino)Benzoic Acid					24507851.2	2068042.297	40553306.32	51107305.35	45210447.11	71102245.52	22689658.68	4031917.216	45456990.87	44774046.95	39770912.82	33235855.28	53481151.16	43783824.86	77105314.14	73273425.19	30557004.82	34242776.98	2754214.032	35256188.32	38440223.99	31660073.91	2312485.174	33607716.79	104927862	104757358	105168349.9	120498283.6	141003347	130836427	45054385.21	42449694.78	46145818.53	34802326.17	38823692.75	32970260.83
Com_2823_neg	"12,13-EODE"					4270236.969	14016531.15	5662711.837	29150005.25	13680760.36	8024784.174	14789541.16	11955910.47	7482323.326	13701073.26	10041913.25	13681832.64	9465031.897	6476376.206	16948405.66	26996423.21	4696075.781	4763379.629	10758717.02	12119579.82	9268979.864	12364310.25	12012263.3	19776525.42	22721578.67	20116272.58	30270776.5	24153790.61	26028323.66	19261067.73	9562977.805	9027890.394	12492856.29	10287223.68	9602303.531	10612670.29
Com_25975_neg	Dehydrocholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	1880758.151	981188.634	877998.1231	869087.0436	854020.4629	698635.4352	684563.5664	821346.887	719702.0799	907157.2329	816342.2574	1059041.505	814698.0116	676535.9738	1013550.444	1355902.564	781063.5783	734087.815	671148.2634	1144927.077	892772.0492	1357785.184	728427.5202	768748.4482	1282866.249	1124633.207	989814.1353	1268626.185	971954.8522	966929.4339	935268.513	6007391.169	2026292.606	819865.7244	823395.1964	751558.0345
Com_8480_neg	Monobutyl phthalate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters	3522962.787	2723814.837	10210502.01	3146423.063	3603652.481	14743888.84	5535270.714	4438996.156	25153799.53	2768445.272	17007001.06	10803842.63	4120997.997	3399849.354	3188768.066	63462632.55	1796290.31	1802602.879	9070648.849	4140104.76	6323581.558	4481172.802	9306593.134	8400786.753	2884651.388	2670936.344	2645491.116	2718993.431	2646664.4	2766577.18	2828875.858	3563143.745	2976012.632	9461302.481	18624264.97	24287175.21
Com_31232_neg	Thromoboxane B1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Thromboxanes	1226483.548	240139043.8	10480045.39	3155017.957	72496896.99	40145951	2950182.027	3685162.747	3208337.288	3644146.297	6258702.239	4314657.072	3020085.084	2397838.081	1045060.491	960588.828	1907694.611	1884986.531	2427087.77	4329034.617	3622068.416	3192232.564	2308322.099	3646696.406	1689985.538	1553093.731	1594105.761	1436907.682	1357551.956	1391266.699	3273989.404	4480688.251	3249053.125	3436532.304	3523234.547	3205078.425
Com_1834_neg	LPE 18:1	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	1-acyl-sn-glycero-3-phosphoethanolamines	950732.5658	23986973.21	32956792.46	436945.211	84912777.38	30757426.04	12981934.44	15067714.87	31213688.07	19944987.21	12640176.95	16729863.32	11474298.44	11144049.79	58414718.88	28714414.84	57238279.76	51294863.55	15152110.97	14240411.97	10942602.34	20199360.63	15341661.9	6095210.407	36353433.69	36551393.66	55547080.91	33517026.24	39849728.16	57888088.93	34408711.27	10666402.52	33540836.24	7546620.452	12600930.14	19482845.6
