Table S7. CAZyme																																				
CAZy_Family	CW1	CW2	CW3	CW4	CW5	CW6	OW1	OW2	OW3	OW4	OW5	OW6	PW7	PW8	PW9	PW10	PW11	PW12	CS1	CS2	CS3	CS5	CS7	CS8	OS1	OS2	OS3	OS4	OS8	OS9	PS7	PS8	PS9	PS10	PS11	PS12
CBM97	134.8438955	62.91571645	78.50728669	92.03780082	133.6354878	229.1952409	184.4386994	202.5031037	145.3798514	114.6030269	170.0810072	83.88388824	50.70907921	106.9797276	63.71979128	77.21896387	78.97845817	187.6747497	166.1912384	130.3118107	214.1989265	61.43038661	51.51060335	45.44555268	0	64.6950165	282.928937	64.08993015	63.57461437	0	119.58171	127.552026	95.09096356	107.0727503	21.56210158	40.61058422
GH96	74.30777656	75.07933914	68.81687108	89.59986352	59.95421141	28.02445751	95.71902444	90.03466006	85.96617439	112.4155847	192.8784782	98.5917885	45.76964871	114.2620066	140.961251	69.92107821	87.67958029	85.21101676	65.3985781	95.81958662	50.37801851	15.85134703	50.13151884	56.40598368	0	57.01826737	52.2124527	60.76922243	120.8672422	45.26566984	52.47436252	70.8338376	36.83328064	89.87618173	123.3703243	86.30284395
GH52	15.98487716	22.10470555	32.45982272	12.28433682	22.60286063	26.80929076	4.79261863	10.74502944	26.63199387	9.86757158	15.24241002	6.42204209	3.20717376	23.74227865	13.28094824	26.9821878	6.60981072	3.17101469	24.57097463	1.62843868	9.14770238	4.30422969	7.34550621	3.16385799	0	5.21453588	5.32875083	10.93299086	16.07296717	0	12.22387646	6.00856303	20.19968865	12.78195775	6.66363199	12.43555728
GH86	180.838092	173.7037056	235.2622271	174.9034634	166.948029	211.4922726	182.5056996	198.6409137	130.4008393	183.6849405	198.1170091	104.3623426	167.2204799	200.3836771	143.1714174	134.1783917	117.24667	152.0091157	207.8488775	122.9732337	113.1142296	175.637805	159.2684395	140.277365	40.24688845	194.9421701	112.9131991	174.7226968	198.0330327	77.88059486	200.8736075	189.8828728	155.7778001	170.8581113	134.0297322	120.1685626
GT92	186.3456569	137.9118267	141.091256	215.1309112	142.7784171	152.0638105	150.3809011	189.777437	207.5145127	177.835547	143.1270854	114.4471527	150.0301941	140.2506657	133.6349459	79.98235396	110.5173459	137.6227391	158.1488551	143.5326526	130.9039469	105.32616	66.3082204	49.63727926	0	139.1874137	154.6268403	102.3090952	150.0085204	7.25059494	166.2646682	161.0400376	106.8338561	121.2652515	142.1805905	134.9745833
GT10	420.4088368	431.220122	794.3960995	372.401558	422.7865176	301.1267587	401.8195471	700.874769	393.2565992	382.1648917	442.6447344	315.6518138	526.0458597	452.6435147	436.8103574	410.4013055	434.2085703	503.6477471	390.7979806	496.5574158	219.8520831	408.0588372	323.7569353	380.6165766	1322.467753	218.2336222	273.6393498	254.519576	396.8668964	596.0018591	423.5779016	400.5264131	454.1238325	534.0606055	377.6599172	393.8965342
CBM63	30.14597442	115.3688493	124.6248732	128.5879752	25.44122939	120.7936819	125.3392208	87.86352872	84.53536845	161.1131747	134.6112591	63.33536812	12.94112597	83.69020771	160.8429722	17.31092488	181.229618	21.10490992	27.02603859	9.46047797	23.16880142	0	8.76341034	9.73809949	0	11.05636528	24.0865629	53.75060499	37.66186217	0	34.97531064	43.96809231	61.8687672	71.93004363	36.22944015	33.99301765
GH176	59.5896628	234.5493559	130.5669544	187.183566	73.05975549	74.53379734	78.3182637	101.9502145	124.9086429	99.09712534	128.0002795	668.4841527	87.58852748	96.82037127	118.2373111	169.4326944	82.18603069	192.3187158	103.3497138	54.31500047	55.07467632	52.21678751	180.536187	180.6394802	99.02433572	61.7852622	93.79572367	1076.526248	203.62108	73.10302867	179.7449734	177.1985859	103.430881	144.4301394	163.3075818	133.7822754
CBM18	31.30081614	37.04690187	31.74400698	42.87291161	13.54715138	46.34954299	34.6152681	33.01768802	50.29396381	35.27844086	58.80030825	39.21300082	59.15470185	22.42842804	38.14023274	70.57052174	22.42000944	21.64092369	36.20694008	57.99950137	62.80292246	61.44866049	115.4195647	89.07719786	4.71280873	64.67153634	45.02314786	30.04636585	90.9065843	40.78063339	58.57081887	36.5231296	32.90206902	37.66014086	16.57147561	37.79685417
GH98	298.2035011	133.646669	197.9615734	228.4288335	240.3020831	136.5013371	291.9637872	302.4886264	240.5852566	281.1649263	387.014561	65.43130337	122.2298042	175.1667763	352.3935913	219.5668117	184.5814942	194.5227746	160.9125787	97.81658518	79.15920603	74.17639104	65.52824396	58.85977583	192.865274	16.09482855	199.4043353	120.9021096	50.53186643	0	101.1332256	104.860216	187.9066197	125.119452	227.3961455	233.981502
