Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.00419380993653368	0.0316906987799081	0.0447485420636295	46.3643756484675	0.157115922984631	9.37780817875776	0.00625293106143505	0.0139984135131352	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0202191015366517	0.00378787878787879	0.0124570232697195	0.011490554763984	0.0017080877957127	3.03989315370768	0.100250626566416	0.00278644672313865	0.0371850887793995	1.3852073535699	0.27266188253793	0.0125121211173324	0.253218884120172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	9.15089328151648	0.899223577879892	4.47341070500606	1.04175429741174	3.64794606638862	0.901299641894339	1.88213224949195	2.92566842424525	33.6064968623108	0.946880918005737	2.70396459673981	5.11359458863319	1.52840909090909	1.643081369276	2.95766879624948	2.78759928260313	2.64792985308635	2.27067669172932	2.48690370040125	2.41703077066096	3.84779820436084	4.80587477626671	5.05802496168163	2.63090128755365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_Incertae_Sedis	0	0	0	0	0	0	0.0312646553071752	0	0	0.0525003281270508	0	0	0	0	0	0	0	0	0	0	2.09063702436939	0.0736019805623861	0	1.66094420600858
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_S24-7_group	0	10.509427982887	0.379640856862405	0.0028041838422927	1.06410329657773	0.059013667028796	0.0781616382679381	2.30507209182959	0	0.142500890630566	16.1994275390268	2.32887287699434	0.854166666666667	0.0797249489262046	0.595210736774371	1.20249380818174	1.42558504151908	0.474519632414369	0.0278644672313865	0.185925443896997	0.123984608807183	2.86378615279102	0.0344083330726641	0.171673819742489
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2.93147314563704	0.562509903343369	2.42363877822045	0.0154230111326099	4.19356681711707	2.55099987929023	0.481475691730499	0	0	0.290626816417603	0.722681228558089	0	1.71401515151515	1.96571827196173	0.535459852001655	4.69553335041421	3.25184367922885	2.71010860484545	2.51894783771734	1.9196802082365	2.82599401453613	1.36163664040414	4.26663330101035	0.751072961373391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.10478933094752	8.39407383932816	9.62093654368035	0.0743108718207566	4.21499171570588	10.1490095092477	8.60715960606534	13.1958378050488	9.37799926172019	6.11066319164495	7.06238200604941	12.8905962796853	7.27651515151515	3.40824156659525	6.78402353265616	5.15330087966522	7.42117182509726	6.48621553884712	4.4193045028979	6.05652133494469	4.75416844805472	5.26086883792509	11.8990271825831	4.56223175965665
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0	0	0	0	0.207107353025196	0	0	0	0	0	0	0	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	0	0	0	6.92072572277839	0	0	0	0	0	0	0	0	0	0	0	0	0.00580686371290866	0	0	0	0	0.00167277228550877	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae	4.53910028797495	0.233718903501822	0.115480108551302	0	0.0856995943552534	0.014753416757199	0.121932155697983	0.0606597918902524	0	0.315001968762305	0.188790320943546	0.0900669068450849	0.0625	0.069759330310429	0.034471664291952	0.155435989409856	0.0900063875500842	0.0902255639097744	0.0961324119482835	0.167332899507298	0.393330483112441	0.0920024757029825	0.134505302011323	0.175965665236052
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	17.9243436687449	1.86975122801458	2.65748599803684	0.00420627576343905	3.35371079243558	5.07785780388685	2.27294044083164	1.66581120806309	10.6423034330011	3.77439858999119	1.94880331296563	3.3508565546651	2.57765151515152	2.66580297971997	1.05713103828653	3.67068067298659	1.70141106788224	1.86967418546366	2.47018502006242	2.69591893650646	2.02650705429671	4.12003813920811	5.05802496168163	3.44206008583691
