Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Acidaminococcaceae|g__Phascolarctobacterium	0	0.0224475783024349	0	0.00140209192114635	0.0142832657258756	0	0.0750351727372206	0	0	0.0806255039093994	0.0324800552160939	0	0.0237692426000755	0.00166364437937746	0.00720398812782757	0.0621611853993495	0.0195645490371447	0.0950658198766785	0.0314259525991882	0.0519194942430443	0.08303645568264	0.597436949879144	0.187534913414731	0.450560902347821	0.207909470276371	0.38919644354974	0.229445506692161	0.462785093080926	0.266484568877933	0.291662638177189	0.0893388921977367	0.110425618743548	0.287227047790428	0.154986805177397	0.120383871952253	0.0993163340724316
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Bacteroidaceae|g__Bacteroides	9.15089328151648	0.689272698463001	2.58531093019227	1.02492919435798	4.54207850082843	1.82808245818748	1.9446615601063	2.44972236479866	33.6064968623108	0.905630660191626	1.9021132335925	4.29747812660834	1.91132674319431	0.645494019198456	0.410627323286171	0.312251535959523	1.62246010229464	2.99325296750597	0.434725677622103	0.626088018813181	0.551790640987866	1.34081269667533	1.21698188492539	2.14859314657022	1.42566493903797	2.74450595537661	0.753179815446006	1.37787712619189	1.26746723072567	1.34712688130459	1.13620744948916	1.43553304366613	2.33588261757276	5.08803529789581	4.18122011597545	3.07187730968219
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Bacteroidales_S24-7_group|g__Unassigned	0	10.5292346696245	0.480685951844795	0.0028041838422927	0.30423355996115	0.0348717123351976	0.143817414413006	2.41239326209696	0	0.0843755273470459	16.2075475528308	2.56414969487538	0.0671131555766838	0.0366001763463042	0.280955536985275	0.0867365377665341	0.153721456720423	0.409311168913477	1.3356029854655	2.63262376691201	1.10358128197573	0.209787020568249	0.147633868007342	0.180837368969534	0.99648038968175	0.768327461835263	0.543686091944468	0.417379763193741	0.702853050415549	1.20532405169358	0.9025518852797	0.87140216530235	0.249160812541094	1.50379089347799	0.691783376852386	0.623614190687361
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Christensenellaceae|g__Christensenellaceae_R-7_group	4.54888584449353	0.619289071990704	0.40706738264334	0	0.254242129920585	0.164970023739589	0.318899484133187	0.732583640520741	0	0.862505390658692	0.572460973183654	0.950297772222631	0.387298835307113	0.384301851636194	0.188744488949082	0.323816407661727	0.279493557673496	0.340652521224765	0.659945004582951	0.561952172983538	0.549112045643265	0.205226433164592	0.5426542175405	0.594617789493042	0.74104875477078	0.885757423251132	0.576939063928839	0.780622402291223	0.757815492746623	0.505978278384737	0.657442616942319	0.616943130806347	0.453334256151158	0.516622683924657	0.350978330903049	0.586659275683666
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Corynebacteriaceae|g__Corynebacterium_1	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0295130512902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Blautia	0.012581429809601	0	0	0	0	0	0	0	4.01439645625692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230704456056569	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Coprococcus_3	0.0055917465820449	0.125442349337136	0.119810612621976	0.00140209192114635	0.205679026452608	0.0549900079131963	0.228231983742379	0.0559936540525407	0	0.240001500009375	0.194880331296563	0.0919050069847805	0.41386445938955	0.187991814869653	0.309771489496585	0.485724611492591	0.715503507644149	0.409311168913477	2.67906245908079	3.53357969642366	2.75895320493933	0.547270488438911	0.135663554385125	0.536382026604549	0.433639752290717	1.16087904713974	0.18455399451326	0.230519367119556	0.118252527439583	0.336781720326147	0.311540752279287	0.357682982451929	0.156879030118467	0.363032156271381	0.320458476041914	0.651330376940133
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Lachnoclostridium_10	0.282383202393268	0.0343315903449004	0.0461920434205208	0	0.0614180426212649	0.0979090384795933	0.165702673128029	0.0699920675656759	0	0.0825005156282227	0.0893201518442581	0.123152709359606	0.117448022259197	0.101482307142025	0.050427916894793	0.180701120346946	0.0181670812487772	0.21125737750373	0.0209506350661254	0.027486791069847	0.018750167412209	0.159620559128016	0.0798020908147793	0.113406485624962	0.138111290969304	0.1157523905385	0.177903400116385	0.185114037232371	0.0166552855548708	0.122466080118599	0.139735190360563	0.0936217202390955	0.156879030118467	0.298803390161829	0.127166061921394	0.233277900960828
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Lachnospiraceae_AC2044_group	0	0.202028204721914	0.353657832438363	0	0.896989087584985	1.21648627261632	0.287634828826012	0.51327516214829	0	1.18500740629629	0.253750431375733	1.22233659289758	0.171977461165252	0.299455988287944	0.27951473935971	0.400433682688833	0.0335392269208195	0.942736047110395	0.489721094670682	0.302354701768317	0.447325422548416	0.332922880467004	0.359109408666507	0.275853613682339	0.117320343941667	0.239892635463848	0.111397456147643	0.209563061017778	0.0299795139987675	0.114409101163428	0.155770376139644	0.156036200398492	0.286073525510145	0.249933676817604	0.266200956288786	0.438839615668884
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Lachnospiraceae_UCG-004	0	0	0.353657832438362	0	0.00571330629035023	0	0	0	0	0.165001031256445	0	0	0	0.224591991215958	2.21594674811976	0	0	1.68345722698285	0	0	0	0.0912117480731518	0	0.318764175810703	0	0	0	0	0	0	0.013744444953498	0.00480111385841515	0	0	0	0
