OTUID	All	CC	OC	PC
ASV_223	0.050325	0.05385263	0.03990801	0.05721336
ASV_378	0.047442	0.03822756	0.04994788	0.05415195
ASV_542	0.049435	0.04485995	0.09299845	0.01044800
ASV_704	0.037106	0.000000000	0.002287872	0.109030092
ASV_224	0.050512	0.02907375	0.04963311	0.07282825
ASV_256	0.046812	0.02086039	0.02660984	0.09296715
ASV_697	0.038684	0.08184238	0.00000000	0.03421049
ASV_445	0.052025	0.04934728	0.05231432	0.05441390
ASV_814	0.052834	0.04284901	0.05404978	0.06160429
ASV_459	0.051795	0.05191035	0.10347352	0.00000000
ASV_421	0.045978	0.03302855	0.07922416	0.02568075
ASV_766	0.042005	0.05147941	0.03750161	0.03703424
ASV_777	0.032599	0.00000000	0.09779635	0.00000000
ASV_338	0.044844	0.05546873	0.05105636	0.02800699
ASV_471	0.05378	0.05593013	0.06644056	0.03896883
ASV_892	0.044705	0.123512480	0.004699900	0.005901222
ASV_632	0.060298	0.003221607	0.131513342	0.046158700
ASV_557	0.050595	0.04751423	0.08643569	0.01783647
ASV_765	0.051134	0.05676318	0.05011254	0.04652678
ASV_259	0.041356	0.070240684	0.006925905	0.046902477
ASV_8818	0.042912	0.04869942	0.03334699	0.04669091
ASV_517	0.042707	0.05185170	0.03097200	0.04529753
ASV_618	0.04216	0.05182847	0.04935395	0.02529707
ASV_785	0.040348	0.121043	0.000000	0.000000
ASV_364	0.053629	0.01026459	0.04948580	0.10113516
ASV_741	0.048678	0.07986640	0.06616907	0.00000000
ASV_411	0.04835	0.001042675	0.002732587	0.141274538
ASV_535	0.049879	0.03325837	0.05722348	0.05915425
ASV_216	0.052345	0.04843133	0.06548192	0.04312151
ASV_395	0.05122	0.03933718	0.05310294	0.06121985
ASV_806	0.042494	0.03666163	0.06178261	0.02903690
ASV_394	0.051491	0.05474898	0.03818314	0.06154232
ASV_424	0.044988	0.113964937	0.005760237	0.015239443
ASV_1236	0.042385	0.008484942	0.019565293	0.099105478
ASV_670	0.04515	0.05594153	0.04400125	0.03550766
ASV_343	0.038255	0.05906797	0.03137272	0.02432542
ASV_267	0.042015	0.03479968	0.04749457	0.04375023
ASV_473	0.038898	0.04877514	0.02811987	0.03979945
ASV_662	0.035468	0.017572062	0.080894523	0.007938764
ASV_772	0.031827	0.05387469	0.04160777	0.00000000
ASV_336	0.042584	0.03885731	0.04908687	0.03980888
ASV_496	0.038905	0.06693817	0.02130895	0.02846665
ASV_531	0.043396	0.0006094046	0.1053108601	0.0242684244
ASV_603	0.045663	0.02489207	0.05523350	0.05686438
ASV_821	0.043177	0.09778033	0.02126427	0.01048760
ASV_724	0.037035	0.04746133	0.04666531	0.01697791
ASV_718	0.04456	0.02847225	0.09351621	0.01169278
ASV_891	0.049416	0.004602656	0.119888033	0.023758448
ASV_1790	0.042641	0.04127831	0.03975581	0.04688741
ASV_578	0.049207	0.0002460969	0.0974710760	0.0499040263
ASV_504	0.046667	0.01453290	0.07023983	0.05522819
ASV_595	0.041967	0.04009474	0.05076022	0.03504658
ASV_1017	0.030781	0.000000000	0.091787374	0.000554502
ASV_414	0.051536	0.008994952	0.137099042	0.008515386
ASV_676	0.040521	0.117450075	0.002000450	0.002112018
ASV_551	0.040442	0.01097530	0.02069793	0.08965227
ASV_1205	0.041848	0.072839804	0.050040653	0.002663595
ASV_116	0.048679	0.05576124	0.04570043	0.04457599
ASV_538	0.038544	0.04330914	0.01303174	0.05929049
ASV_721	0.042601	0.031009623	0.007342581	0.089451035
ASV_955	0.042034	0.03193676	0.02026198	0.07390279
ASV_1177	0.034018	0.076299795	0.005593716	0.020159614
ASV_490	0.038963	0.00000000	0.10507567	0.01181256
ASV_836	0.039966	0.1197790161	0.0000000000	0.0001204448
ASV_797	0.04545	0.0572668279	0.0783463955	0.0007370241
ASV_425	0.042251	0.03363485	0.06571707	0.02740214
ASV_464	0.040803	0.03630912	0.04580584	0.04029484
