OTUID	All	CW	OW	PW
ASV_194	0.09614	0.19586907	0.04354992	0.04900067
ASV_337	0.092193	0.027369579	0.003437521	0.245771807
ASV_135	0.098459	0.268110134	0.025659057	0.001608478
ASV_155	0.088988	0.153888731	0.009185415	0.103890974
ASV_62	0.091024	0.02863066	0.03246424	0.21197721
ASV_160	0.090179	0.05407763	0.05153315	0.16492611
ASV_73	0.09007	0.03420994	0.01212977	0.22387168
ASV_248	0.090549	0.09778979	0.05722042	0.11663761
ASV_179	0.093206	0.12278257	0.10602437	0.05081122
ASV_460	0.082521	0.03409888	0.01003551	0.20342899
ASV_1758	0.100706	0.13611791	0.09460794	0.07139322
ASV_837	0.071842	0.0009001114	0.2146267596	0.0000000000
ASV_144	0.1014	0.11730773	0.06324791	0.12364568
ASV_181	0.097073	0.18615610	0.01223216	0.09283097
ASV_74	0.087143	0.05891076	0.13009979	0.07241759
ASV_301	0.085111	0.07280904	0.02326993	0.15925429
ASV_113	0.088153	0.11254940	0.05383715	0.09807171
ASV_198	0.086182	0.05634039	0.04438041	0.15782545
ASV_134	0.090209	0.11155700	0.04700956	0.11205920
ASV_1115	0.074539	0.11210838	0.06953962	0.04196841
ASV_220	0.083279	0.04172436	0.00780984	0.20030158
ASV_313	0.083439	0.11719677	0.05574819	0.07737230
ASV_405	0.078347	0.04981604	0.02955576	0.15567011
ASV_479	0.079756	0.06219922	0.14467029	0.03239926
ASV_133	0.084025	0.07341709	0.05991951	0.11873968
ASV_175	0.074401	0.055396548	0.001823772	0.165982853
ASV_203	0.08388	0.03633613	0.13466414	0.08063959
ASV_391	0.078116	0.13724947	0.07782968	0.01926845
ASV_247	0.076092	0.15848090	0.02134538	0.04845088
ASV_258	0.09785	0.15854224	0.11626896	0.01874023
ASV_157	0.095283	0.16092321	0.03218668	0.09273791
ASV_207	0.081731	0.0780252346	0.0007776896	0.1663912936
ASV_297	0.094817	0.104541233	0.006663753	0.173245546
ASV_476	0.070621	0.022116353	0.004085289	0.185662391
ASV_255	0.086818	0.18823890	0.06044385	0.01177020
ASV_148	0.086407	0.06742573	0.07851517	0.11328127
ASV_259	0.075261	0.1047529	0.1030679	0.0179629
ASV_173	0.076793	0.04682908	0.01523379	0.16831662
ASV_46	0.073663	0.06511540	0.06718521	0.08868781
ASV_581	0.062572	0.0008165205	0.1859493390	0.0009496308
ASV_105	0.077767	0.12507354	0.02110207	0.08712591
ASV_145	0.080234	0.05992927	0.02661485	0.15415727
ASV_141	0.073261	0.06554311	0.01643894	0.13780225
ASV_202	0.090774	0.081003633	0.004001757	0.187318091
ASV_468	0.076583	0.06054822	0.02610500	0.14309662
ASV_151	0.080138	0.07053022	0.06316727	0.10671621
ASV_330	0.09024	0.16215464	0.05448209	0.05408272
ASV_97	0.087997	0.18421680	0.04888965	0.03088378
ASV_195	0.077367	0.09543564	0.05279140	0.08387455
ASV_191	0.075268	0.09775633	0.06732187	0.06072565
ASV_206	0.077347	0.03514926	0.10168013	0.09521041
ASV_268	0.07141	0.04234263	0.04488461	0.12700305
ASV_163	0.077941	0.06971391	0.10548642	0.05862268
ASV_256	0.067896	0.050492742	0.008213766	0.144981975
ASV_188	0.07404	0.0765831919	0.0004811671	0.1450548822
ASV_177	0.078487	0.06078662	0.04602037	0.12865397
ASV_8334	0.083558	0.14196870	0.03314576	0.07555997
ASV_201	0.068745	0.10311904	0.07310368	0.03001222
ASV_342	0.108561	0.032137621	0.289408329	0.004137055
ASV_176	0.073572	0.08323497	0.05611286	0.08136770
ASV_204	0.084857	0.02102790	0.15547524	0.07806933
ASV_221	0.067832	0.06658884	0.06533479	0.07157183
ASV_254	0.072247	0.06327589	0.06655911	0.08690592
ASV_211	0.073316	0.02032418	0.03448763	0.16513646
ASV_439	0.073121	0.000000000	0.001302694	0.218059101
ASV_193	0.074145	0.05169146	0.08120324	0.08954048
ASV_267	0.075198	0.03529232	0.07815598	0.11214671
ASV_280	0.070736	0.05950490	0.04565633	0.10704808
ASV_375	0.072822	0.03549841	0.00968705	0.17328083
ASV_236	0.095012	0.18854664	0.00000000	0.09648901
ASV_282	0.067669	0.02631708	0.07253050	0.10415847
ASV_621	0.059462	0.032661023	0.137939923	0.007783647
ASV_392	0.059095	0.08998279	0.05938243	0.02792066
ASV_190	0.066957	0.03381336	0.02229376	0.14476327
ASV_325	0.067722	0.03144879	0.03421140	0.13750435
ASV_354	0.079557	0.19458000	0.02178493	0.02230477
ASV_459	0.097896	0.1960204246	0.0974754723	0.0001924735
ASV_200	0.062984	0.04748741	0.00000000	0.14146559
ASV_429	0.063769	0.106333049	0.009038205	0.075934574
ASV_322	0.07137	0.114955876	0.092577537	0.006575115
ASV_457	0.068412	0.0000000	0.0000000	0.2052367
ASV_249	0.062429	0.11930285	0.01972413	0.04825974
ASV_397	0.072108	0.0006990954	0.2156263477	0.0000000000
ASV_189	0.073682	0.11391753	0.04214927	0.06497970
ASV_238	0.069806	0.06594635	0.06017610	0.08329559
ASV_402	0.060171	0.03052209	0.05580599	0.09418640
ASV_408	0.073201	0.07249116	0.02548491	0.12162543
ASV_646	0.059172	0.0000000000	0.1767967815	0.0007187162
ASV_296	0.066068	0.05225183	0.03615232	0.10979916
ASV_742	0.054222	0.0000000	0.1626667	0.0000000
ASV_3284	0.064522	0.02860482	0.04095004	0.12401092
ASV_394	0.057603	0.06082926	0.05998626	0.05199272
ASV_87	0.087248	0.15542421	0.04477838	0.06154272
ASV_379	0.080159	0.02449114	0.19336348	0.02262329
ASV_679	0.051565	0.0008264445	0.1533070521	0.0005619120
ASV_263	0.069916	0.13044390	0.04381561	0.03548846
ASV_492	0.067976	0.181778871	0.020492673	0.001656398
ASV_152	0.059201	0.01615620	0.05127286	0.11017483
ASV_680	0.053493	0.09878423	0.06169585	0.00000000
ASV_2166	0.061637	0.0322634	0.0000000	0.1526480
ASV_222	0.058824	0.106945315	0.002380544	0.067147048
