OTUID	All	CW	OW	PW
ASV216	0.000835	0.000000000	0.000000000	0.002504969
ASV2081	0.000595	0.000000000	0.001785005	0.000000000
ASV211	0.000748	0.000000000	0.002243598	0.000000000
ASV212	0.000753	0.000000000	0.002258161	0.000000000
ASV2082	0.00064	0.000000000	0.001918756	0.000000000
ASV2084	0.000651	0.001952328	0.000000000	0.000000000
ASV215	0.000768	0.000000000	0.000000000	0.002303238
ASV218	0.000749	0.002246729	0.000000000	0.000000000
ASV219	0.000752	0.002254632	0.000000000	0.000000000
ASV845	0.000591	0.000000000	0.001773535	0.000000000
ASV2089	0.000694	0.000000000	0.000000000	0.002080732
ASV2090	0.000694	0.000000000	0.000000000	0.002080732
ASV2094	0.000543	0.000000000	0.001629787	0.000000000
ASV2095	0.000604	0.001810694	0.000000000	0.000000000
ASV223	0.000746	0.000000000	0.000000000	0.002238278
ASV224	0.000731	0.00000000	0.00000000	0.00219356
ASV394	0.000597	0.000000000	0.001790016	0.000000000
ASV1819	0.000604	0.000000000	0.000000000	0.001812165
ASV2098	0.00066	0.000000000	0.000000000	0.001978686
ASV2099	0.000573	0.001717983	0.000000000	0.000000000
ASV2103	0.000563	0.000000000	0.001689081	0.000000000
ASV2104	0.000517	0.000000000	0.001552178	0.000000000
ASV2105	0.000581	0.000000000	0.001744324	0.000000000
ASV225	0.000645	0.000000000	0.001933653	0.000000000
ASV228	0.000645	0.000000000	0.001933653	0.000000000
ASV229	0.000645	0.000000000	0.001933653	0.000000000
ASV230	0.000689	0.00000000	0.00206626	0.00000000
ASV838	0.000615	0.000000000	0.000000000	0.001846431
ASV843	0.000541	0.000000000	0.001623382	0.000000000
ASV231	0.000616	0.000000000	0.001847586	0.000000000
ASV232	0.000612	0.000000000	0.001835671	0.000000000
ASV233	0.000612	0.000000000	0.001835671	0.000000000
ASV237	0.000671	0.00000000	0.00000000	0.00201445
ASV238	0.000671	0.00000000	0.00000000	0.00201445
ASV2110	0.000544	0.000000000	0.000000000	0.001630949
ASV2117	0.000507	0.000000000	0.001520173	0.000000000
ASV2118	0.000466	0.00000000	0.00139696	0.00000000
ASV241	0.000622	0.000000000	0.000000000	0.001864526
ASV242	0.000627	0.000000000	0.000000000	0.001879902
ASV243	0.000577	0.000000000	0.001730111	0.000000000
