OTUID	All	CC	OC	PC
ASV967	0.005972	0.0169519671	0.0009639731	0.0000000000
ASV1870	0.004414	0.00000000	0.00000000	0.01324233
ASV173	0.004697	0.00000000	0.00000000	0.01409189
ASV968	0.004717	0.0000000000	0.0005355406	0.0136147141
ASV969	0.004981	0.00000000	0.00000000	0.01494322
ASV970	0.005073	0.0000000	0.0000000	0.0152177
ASV1871	0.003593	0.00000000	0.01077755	0.00000000
ASV971	0.004386	0.01315845	0.00000000	0.00000000
ASV850	0.004373	0.012824491	0.000295027	0.000000000
ASV972	0.004335	0.01300583	0.00000000	0.00000000
ASV973	0.004537	0.000230639	0.000000000	0.013381781
ASV88	0.004953	0.00000000	0.01485757	0.00000000
ASV974	0.004434	0.00000000	0.00000000	0.01330259
ASV1873	0.003845	0.0000000	0.0115348	0.0000000
ASV1874	0.003451	0.00000000	0.01035402	0.00000000
ASV975	0.004853	0.000526338	0.011364277	0.002669535
ASV274	0.004624	0.0000000000	0.0003933694	0.0134781946
ASV277	0.00379	0.000234755	0.011134288	0.000000000
ASV849	0.003994	0.00000000	0.00000000	0.01198278
ASV1875	0.003792	0.0000000	0.0113746	0.0000000
ASV976	0.004462	0.00000000	0.00000000	0.01338497
ASV977	0.004263	0.00000000	0.00000000	0.01279043
ASV46	0.003748	0.00000000	0.01124486	0.00000000
ASV1876	0.003757	0.000000	0.000000	0.011272
ASV1877	0.003757	0.000000	0.000000	0.011272
ASV978	0.004507	0.0001794855	0.0000000000	0.0133416690
ASV1879	0.003876	0.00000000	0.00000000	0.01162949
ASV1880	0.00326	0.000000000	0.009778798	0.000000000
ASV979	0.004157	0.00000000	0.00000000	0.01247118
ASV1850	0.003234	0.000000000	0.009702668	0.000000000
ASV980	0.004097	0.0000000000	0.0003213244	0.0119681920
ASV981	0.004507	0.0006142355	0.0000000000	0.0129055357
ASV982	0.004283	0.00000000	0.01284965	0.00000000
ASV1878	0.003732	0.0000000	0.0111963	0.0000000
ASV983	0.004327	0.00000000	0.01298119	0.00000000
ASV1881	0.003707	0.00000000	0.00000000	0.01112017
ASV862	0.003946	0.00000000	0.00000000	0.01183882
ASV1883	0.003116	0.00000000	0.00934738	0.00000000
ASV1884	0.003116	0.00000000	0.00934738	0.00000000
ASV1885	0.00365	0.00000000	0.00000000	0.01095039
ASV984	0.004244	0.00000000	0.00000000	0.01273115
ASV985	0.003942	0.00000000	0.00000000	0.01182452
ASV1886	0.003592	0.00000000	0.01077539	0.00000000
ASV1887	0.003391	0.00000000	0.01017305	0.00000000
ASV233	0.003778	0.00000000	0.00000000	0.01133432
ASV986	0.003684	0.0110531	0.0000000	0.0000000
ASV987	0.004177	0.00000000	0.00000000	0.01253223
ASV988	0.003837	0.00000000	0.00000000	0.01151139
ASV1888	0.003565	0.00000000	0.00000000	0.01069573
ASV989	0.00431	0.0000000	0.0129308	0.0000000
ASV854	0.003404	0.00000000	0.01021337	0.00000000
ASV990	0.003993	0.00000000	0.01198012	0.00000000
ASV991	0.010709	0.0321263	0.0000000	0.0000000
ASV992	0.003776	0.00000000	0.00000000	0.01132867
ASV1889	0.00348	0.00000000	0.01043866	0.00000000
ASV993	0.003972	0.00000000	0.00000000	0.01191551
ASV1872	0.003298	0.000000000	0.000000000	0.009893411
ASV994	0.003685	0.00000000	0.00000000	0.01105459
ASV1890	0.003231	0.000000000	0.009692437	0.000000000
ASV1891	0.003395	0.00000000	0.01018611	0.00000000
ASV995	0.003907	0.0000000000	0.0001966847	0.0115248331
ASV996	0.004051	0.00000000	0.00000000	0.01215203
ASV1892	0.003177	0.000000000	0.009532232	0.000000000
ASV1893	0.00335	0.00000000	0.01005003	0.00000000
ASV1894	0.003255	0.000000000	0.009765198	0.000000000
ASV1895	0.003136	0.000000000	0.000000000	0.009406849
ASV997	0.004051	0.0006142355	0.0000000000	0.0115393256
ASV871	0.003225	0.000000000	0.008670822	0.001004963
ASV1896	0.003082	0.000000000	0.000000000	0.009244662
ASV998	0.004344	0.0130311	0.0000000	0.0000000
ASV999	0.003679	0.001268982	0.000000000	0.009766808
ASV1897	0.003358	0.00000000	0.00000000	0.01007495
ASV1898	0.002825	0.000000000	0.000000000	0.008475353
ASV846	0.004008	0.01202373	0.00000000	0.00000000
ASV1899	0.002617	0.000000000	0.007851198	0.000000000
ASV1900	0.003113	0.000000000	0.000000000	0.009337544
ASV1000	0.003319	0.000000000	0.000000000	0.009958267
ASV1901	0.003068	0.00000000	0.00920549	0.00000000
ASV1001	0.00385	0.00000000	0.01154937	0.00000000
ASV1002	0.004152	0.01245451	0.00000000	0.00000000
ASV1003	0.003581	0.00000000	0.00000000	0.01074191
ASV1004	0.003289	0.000000000	0.000000000	0.009866906
ASV1902	0.00304	0.000000000	0.009121036	0.000000000
ASV1005	0.004075	0.01222387	0.00000000	0.00000000
ASV1903	0.00283	0.000000000	0.008490896	0.000000000
ASV1904	0.002522	0.0000000	0.0075657	0.0000000
ASV1006	0.003198	0.000000000	0.000000000	0.009592826
ASV1905	0.002946	0.000000000	0.008839187	0.000000000
ASV1007	0.00354	0.00000000	0.00000000	0.01062026
ASV1008	0.003586	0.00000000	0.01075843	0.00000000
ASV1830	0.002836	0.000000000	0.000000000	0.008508164
ASV1009	0.003376	0.00000000	0.01012926	0.00000000
ASV1010	0.003948	0.01184284	0.00000000	0.00000000
ASV1906	0.003048	0.00000000	0.00000000	0.00914421
ASV1011	0.0031	0.0000000000	0.0002142162	0.0090859571
ASV1012	0.003483	0.00000000	0.01044809	0.00000000
ASV860	0.003025	0.000000000	0.000000000	0.009074536
ASV852	0.003053	0.000000000	0.009160291	0.000000000
ASV1013	0.003282	0.000000000	0.000000000	0.009846749
ASV1908	0.002969	0.000000000	0.000000000	0.008905537
ASV659	0.003202	0.000230639	0.000000000	0.009376135
ASV1014	0.003499	0.0000000	0.0104966	0.0000000
ASV1909	0.002643	0.000000000	0.007928033	0.000000000
ASV845	0.003148	0.000000000	0.001532514	0.007911114
ASV1015	0.002846	0.0083336842	0.0000000000	0.0002042359
ASV1016	0.00309	0.001774658	0.007494042	0.000000000
ASV1017	0.002924	0.000000000	0.000000000	0.008770583
ASV1018	0.003114	0.000000000	0.009342522	0.000000000
ASV1019	0.003093	0.000000000	0.000000000	0.009278467
ASV84	0.002687	0.0075812513	0.0004806167	0.0000000000
ASV1020	0.0032	0.000000000	0.000000000	0.009599085
ASV1021	0.00306	0.000000000	0.000000000	0.009180799
ASV1022	0.00306	0.000000000	0.000000000	0.009180799
ASV1910	0.002646	0.00000000	0.00793868	0.00000000
ASV1911	0.002779	0.000000000	0.000000000	0.008337368
ASV847	0.002681	0.0071932853	0.0000000000	0.0008488676
ASV1023	0.003168	0.000000000	0.005890947	0.003613719
ASV1024	0.002963	0.000000000	0.008888477	0.000000000
ASV1025	0.004713	0.01413824	0.00000000	0.00000000
ASV1026	0.002963	0.000000000	0.000000000	0.008887795
ASV1882	0.002562	0.000000000	0.007685317	0.000000000
