Class	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned	0.24355109375232	0.161046804227479	0.473854850777288	0.609479235793371	0.577938408754018	0.272325888684779	0.556650020616667	0.621744244664762	0.0922817824226275	0.471941803152795	0.194987961612805	0.196322985957132	0.273826408099645	0.121330906715199	0.222324027163954	0.303520841764468	0.448296473401076	0.418237511781338	0.40589546528263	0.306442772435099	0.370065789473684	0.235569174090933	0.270865579235623	0.275938189845475
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5.68632401205875	0	4.55066921606119	5.56564562886382	0.14823204143835	3.1905636662477	2.86571677280432	1.44033415752455	0	0.118683589550259	0.49340432025501	0.129342202512934	1.47444988976732	0.0828316766997993	0.291042362832812	0.0578134936694224	2.32616058975892	0.0687244737668866	12.6825697840769	0.986596242961782	0.250448564593301	6.65969995926247	0.0684605310155971	2.30626234460323
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.383147452366455	0.697869484985741	0.608529387313991	2.80290594111278	1.91868889592112	0.175642141222727	0.288633344023457	0.3168735146554	1.20427726061529	0.843351624568899	1.32591813896707	1.80617147080562	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.68945750478934	3.28132863613488	1.62440768143653	1.40931158534456	2.05359670891557	2.59434722356505	1.99752599990837	2.23971961495067	2.91956489139588	5.13830128876416	6.383736308454	4.40918329637842	5.88656565514723	3.67842643147137	2.18685997628544	1.84280511071284	2.29876469416218	2.55458686773484	3.52995974315467	1.50480841098211	2.62036483253589	0.903310366814857	0.910822716990118	1.73986290228883
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_BS11_gut_group	0.00594027057932489	0.0956215400100654	0.0581927009726494	0.0716007125144075	0.0233173997768192	0.00644558316413678	0.00687222247674898	0	0.00346056684084853	0.00139627752412069	0.0949506595679745	0.0415742793791574	1.07283782455451	0.249661673433198	0.361108116848119	0	0.278940027894003	0	1.25262002195828	0.154467088544521	0.0485944976076555	0.108043004658248	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_Incertae_Sedis	0.585116652063501	0	0	0.0331808179944815	0.00166552855548708	0.691288794353669	0.343611123837449	0.391290779460835	0.00692113368169706	0.0893617615437244	0.310285191088202	0.163987435328899	0	0	0.249272394092918	0	0	0.0431982406534716	0	0	0.115879186602871	0	0	0.0116184500987568
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_S24-7_group	2.36719782586097	1.75977185036068	0.498794579765567	1.13687960602145	1.34741260138905	2.26723387798511	2.23347230494342	1.41872914516168	0.735947214820454	1.97154386405842	0.659567974498966	0.602827050997783	0.0884669933860391	1.88996220075598	1.26522582731486	3.65236746256576	1.54164176130703	0.477144203581527	0.873340652759756	0.792266679954158	1.08029306220096	0.763385819798438	6.07215144660079	0.357267340536772
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.61129839464188	10.9763462506291	3.17898412170588	3.94153190597604	4.35369164404324	2.0029649682555	1.83488340129198	0.893007177665218	4.42721851172555	9.72507295550064	4.58476041913934	4.65169992609017	6.52830241669358	5.65822016892995	4.63781394847472	2.36457189107938	7.21757322175732	3.56189129751806	4.52806334630868	1.52723105286761	4.63142942583732	5.30827680263554	3.77128229551137	5.60880678517486
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.13168094806718	10.276799194766	11.0516252390057	13.3002689392616	10.7076830832265	10.0325501949789	10.1869244513676	10.4688287682742	5.95217496625947	7.83870202041358	8.80667367492963	6.76274944567627	15.2865347619114	10.4111251108311	13.5294276166864	10.4281089206221	10.5972305240088	11.881479736098	7.18301893069834	10.0528177786636	11.4234449760766	11.0292424591296	5.64352899154661	4.82456140350877
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae	0.378692249431962	0.494883408824023	0.312577936653088	0.557088470538926	0.483003281091254	0.265880305520642	0.357355568790947	0.362484096310344	0.307990448835519	0.286236892444742	0.32893621350334	0.471175166297118	0.172721272801314	0.167996640067199	0.113183141101649	0.144533734173556	0.263996812113967	0.188501413760603	0.276141996872609	0.261597488664109	0.874700956937799	0.534901432898209	0.511965710203596	0.752294643894505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.2274381098059	4.85321254823016	2.35597306509269	4.3257308511753	1.0709348611782	4.34271165683715	4.66623906171256	4.79871330148594	2.45815597928274	4.20279534760329	4.20495778086744	5.94050258684405	4.04841812590398	2.66228008773158	2.57626387840897	3.97756836445626	2.50049810719267	2.90999057492931	2.11930665069701	3.49294932482934	3.02781100478469	2.49561628792575	6.09596380521491	4.77808760311374
