Class	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Unassigned|Unassigned|Unassigned|Unassigned|Enterobacteriaceae	0	0.0772335442722607	0.360803419589098	0	0.0348411822774519	0	0.0626950512706197	0	1.16716545532279	0.294407922249544	1.92373862178986	0.0429184549356223	0	0	0	0	0.0017683465959328	0	0	0.00454545454545455	0	0	0	0.00254958951608791	0	0	0.00134741834644821	0	0	0	0.0133080480420534	0	0	0.00885598398838095	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Fibrobacteraceae	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae	2.71401515151515	2.69320843091335	1.13526681068162	3.29660944572551	1.32396492654317	1.734335839599	2.51894783771734	2.61690062285024	1.67165455322788	3.45762031414664	4.26663330101035	2.8412017167382	2.10745187470655	2.64798888790377	1.55934664246824	2.13952736385438	2.50928381962865	2.74700616482037	2.59287697123619	2.325	5.26968564974087	3.96428088215397	3.26283700104792	1.58839426852277	3.66506115456448	2.30762051425638	2.30947504581222	3.32138521130832	2.19416218370193	2.67043669494188	1.75167182353528	2.88255518461308	2.38113038277512	1.99436759418339	5.5423264674366	3.92703613337981
Unassigned|Unassigned|Unassigned|Unassigned|Methanobacteriaceae	0.397727272727273	5.31292042453535	0.507882520568093	0.365530788282518	1.17298647000755	0.949039264828738	0.0236847971466786	0.436924793157944	0.615647712697734	0.184004951405965	0.447308329944634	0.59656652360515	0.178415722047086	0.954576351331383	0.0116152450090744	0.123952466923554	0.0530503978779841	0.212580012754801	0.0841651408658673	0.225	1.2698037710219	0.847878049880485	0.878822520720206	0.107082759675692	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
Unassigned|Unassigned|Unassigned|Unassigned|Micrococcaceae	0.00189393939393939	0.00124570232697195	0.0045962219055936	0.0017080877957127	2.81342546890424	0.100250626566416	0.00139322336156933	0.0371850887793995	1.30825138948268	0.265970793395895	0.0125121211173324	0.236051502145923	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351	0	0.00233328666759998	0.00943192842513744	0.023125397467769	0	0.025526233113415	0.0232890840735935	0.069759330310429	0.0112141148325359	0.00885598398838095	0.0833432551494226	0
Unassigned|Unassigned|Unassigned|Unassigned|Prevotellaceae	1.94318181818182	2.18371617918182	1.28004780070782	5.90144333418738	3.30700888450148	3.40183792815372	2.88675880517165	2.86789997211118	3.26635314236853	2.61454308225021	4.37611436078701	1.03862660944206	3.12831175799852	5.77326595147324	5.8540834845735	4.9015116811727	4.36427939876216	2.76117816567069	0.472506053983817	0.527272727272727	1.03503772498413	0.633653542596852	0.319138801562351	0.624649431441538	4.56939042028843	4.09841803163937	3.264794653444	4.25796380875296	6.77176728431959	2.4485548224945	3.98409688258975	1.31795306193632	4.5305023923445	4.87079119360952	2.74139778545065	5.25444405716277
Unassigned|Unassigned|Unassigned|Unassigned|Rikenellaceae	8.15340909090909	4.39982061886492	6.65992554120513	6.42241011187975	8.61157888624354	8.69172932330827	5.89194159607668	6.64218648322023	4.86105173150919	6.02198022783158	12.4245362695111	5.62231759656652	12.7251995438997	11.462304577829	12.34555353902	7.04508097329633	8.98496905393457	6.90176441410587	7.40948555903373	7.39545454545455	5.37747131867645	6.57556487620078	7.27826998189959	9.04339401356382	10.010812632525	8.30300060665453	11.1822248571737	8.04908365612534	9.07302251444511	8.2920986490732	5.16185913431147	8.41596492102247	8.81429425837321	10.4341203351104	5.47088939159424	2.9598001626583
Unassigned|Unassigned|Unassigned|Unassigned|Ruminococcaceae	9.34469696969697	9.43370372215855	9.53256423220113	8.85643522077035	10.2926659311306	10.6616541353383	12.0485956308515	11.2577856279632	12.5951261222745	9.17348321373012	10.8511370390065	11.1545064377682	13.2148366758334	8.99163637438307	9.58693284936479	11.1233865969659	14.4827586206897	15.7261969435718	10.5605103065383	9.90681818181818	14.7784487722769	18.5202724033735	16.6690482995141	12.8422823925348	8.30747195034614	9.17331653366933	10.3859006144228	9.78637914089148	9.25732217573222	13.5956644674835	11.6911202049439	16.1019482784394	16.1558014354067	16.365858410528	15.5107750922729	13.5006390147554
Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0.191287878787879	0.28152872589566	0.298754423863584	0.160560252796994	0.505197143023053	0.165413533834586	0.592119928666964	0.250999349260946	0.26507054296708	0.260952476539369	0.378491663799306	1.70386266094421	0.967201019518412	0.237905251647605	0.333938294010889	0.304491929616556	0.989389920424403	0.420436025226162	3.58956942885831	2.60227272727273	0.116644765012477	0.469038921210481	0.478708202343527	0.507368313701494	0.273826408099645	0.123664193382799	0.227713700549747	0.310747528473146	0.448296473401076	0.420201068174678	0.40589546528263	0.311425581742987	0.370065789473684	0.235569174090933	0.270865579235623	0.275938189845475
Unassigned|Unassigned|Unassigned|Unassigned|Verrucomicrobiaceae	6.95265151515151	0.335093925955454	7.53780392517351	0.163976428388419	5.50781023169386	3.3015873015873	0.560075791350869	10.2073068699452	0.684053014108593	4.21036784262558	1.8048734711752	5.13733905579399	2.37708766516869	0.144811892307238	1.48384754990926	0.231737220770122	4.1211317418214	3.61622221697333	0.031008209792688	0.0522727272727273	2.56470831426167	5.48414738646101	7.83319043536248	0.624649431441538	1.47444988976732	0.166829996733399	0.417699687398944	0.144533734173556	2.37846184498904	0.398601947847942	14.4558671856805	1.78135432756988	0.287828947368421	6.73586142156255	0.634004048100964	3.55524573021959
